description,nof_floor,garage,garden,backdoor,nof_bathroom,nof_room,h_id
"20 Gene St in Boston, MA was built in 1920 with a total of 1248 sq ft. The current listing price for this property is 319000 with a per sq ft price of 255.61. The property has 2 floors, 10 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: Columbia Rd. to Holden. Please contact crazy eight at mno@pqr.com if interested.",2,0x796573,0x796573,0x796573,2,8,388
"367 Savin Hill Avenue in Boston, MA was built in 2002 with a total of 2322 sq ft. The current listing price for this property is 620000 with a per sq ft price of 267.01. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the Dorchester Neigborhood Boston, MA-. Directions: Dorchester Ave to Savin Hill Ave Left to Savin Hill Ave. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,5,389
"3 Stoughton street place in Boston, MA was built in 1890 with a total of 1408 sq ft. The current listing price for this property is 169900 with a per sq ft price of 120.67. The property has 2 floors, 5 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: USE GPS. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,6,390
"18 Grant St in Boston, MA was built in 1989 with a total of 1900 sq ft. The current listing price for this property is 385000 with a per sq ft price of 202.63. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the Dorchester Neigborhood Boston, MA-. Directions: Dorchester Ave to Cresent to Grant. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,7,391
"17 Elizabeth St in Boston, MA was built in 1920 with a total of 1862 sq ft. The current listing price for this property is 465000 with a per sq ft price of 249.73. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Mattapan Neigborhood Boston, MA-. Directions: see mapquest.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,8,392
"71 Standard in Boston, MA was built in 1950 with a total of 1468 sq ft. The current listing price for this property is 214000 with a per sq ft price of 145.78. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: Off River Street. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,393
"102 Wellington Hill St in Boston, MA was built in 1920 with a total of 1380 sq ft. The current listing price for this property is 264900 with a per sq ft price of 191.96. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: Blue Hill to Wellington. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,7,394
"52 Hillsboro Road in Boston, MA was built in 1925 with a total of 1870 sq ft. The current listing price for this property is 325000 with a per sq ft price of 173.8. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the Mattapan Neigborhood Boston, MA-. Directions: Harvard Street to Hillsboro Rd. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,395
"79 Astoria St in Boston, MA was built in 1940 with a total of 1576 sq ft. The current listing price for this property is 239000 with a per sq ft price of 151.65. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Mattapan Neigborhood Boston, MA-. Directions: Norfolk to Elizabeth to Astoria. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,6,396
"21 Sanford in Boston, MA was built in 1900 with a total of 1864 sq ft. The current listing price for this property is 389900 with a per sq ft price of 209.17. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Mattapan Neigborhood Boston, MA-. Directions: washington st to Sanford.corner of Old Morton. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,397
"3 Paula Road in Boston, MA was built in 1935 with a total of 1620 sq ft. The current listing price for this property is 389000 with a per sq ft price of 240.12. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Dorchester's Lower Mills Neigborhood Boston, MA-. Directions: Off of Clearwater Dr. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,398
"9 Taylor Terrace in Boston, MA was built in 1935 with a total of 1678 sq ft. The current listing price for this property is 180000 with a per sq ft price of 107.27. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Mattapan Neigborhood Boston, MA-. Directions: River Street to Taylor Terrace. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,7,399
"72 Dorchester in Boston, MA was built in 1890 with a total of 576 sq ft. The current listing price for this property is 180000 with a per sq ft price of 312.5. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: mapquest. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,3,400
"227-229 W 9Th St in Boston, MA was built in 2004 with a total of 1430 sq ft. The current listing price for this property is 469900 with a per sq ft price of 328.6. The property has 2 floors, 3 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the South Boston Neigborhood Boston, MA-. Directions: See Mapquest. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,6,401
"590 E. Eighth St. in Boston, MA was built in 1900 with a total of 2267 sq ft. The current listing price for this property is 935000 with a per sq ft price of 412.44. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the South Boston Neigborhood Boston, MA-. Directions: Between I and K Streets. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,9,402
"276 W. 5th St. in Boston, MA was built in 1890 with a total of 1523 sq ft. The current listing price for this property is 410000 with a per sq ft price of 269.21. The property has 2 floors, 9 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the South Boston Neigborhood Boston, MA-. Directions: located in between Dorchester St. and F. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,403
"11 Earl in Boston, MA was built in 2000 with a total of 1750 sq ft. The current listing price for this property is 519000 with a per sq ft price of 296.57. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: mapquest. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,6,404
"796 E 4Th St in Boston, MA was built in 1890 with a total of 4175 sq ft. The current listing price for this property is 939000 with a per sq ft price of 224.91. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the South Boston's City Point Neigborhood Boston, MA-. Directions: South on L Street to left on East 4th Street. House located at corner of East 4th & N Street.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,8,405
"104 Faywood Ave in Boston, MA was built in 1964 with a total of 1814 sq ft. The current listing price for this property is 399000 with a per sq ft price of 219.96. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the East Boston's Orient Heights Neigborhood Boston, MA-. Directions: MAP QUEST. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,10,406
"684 Bennington in Boston, MA was built in 1900 with a total of 988 sq ft. The current listing price for this property is 279000 with a per sq ft price of 282.39. The property has 2 floors, 10 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the East Boston's Orient Heights Neigborhood Boston, MA-. Directions: Bennington street near rout 1A- Woodland traing station. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,6,407
"56 belmont in Boston, MA was built in 1970 with a total of 1617 sq ft. The current listing price for this property is 329000 with a per sq ft price of 203.46. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: mapquest. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,6,408
"6 Cross Street in Boston, MA was built in 1885 with a total of 2610 sq ft. The current listing price for this property is 819000 with a per sq ft price of 313.79. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: High to Cross. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,409
"6 Washington Street in Boston, MA was built in 1867 with a total of 3052 sq ft. The current listing price for this property is 1499000 with a per sq ft price of 491.15. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Harvard to Washington. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,4,11,410
"15 Chestnut Street in Boston, MA was built in 1850 with a total of 2568 sq ft. The current listing price for this property is 869000 with a per sq ft price of 338.4. The property has 2 floors, 11 bedrooms, 4 bathrooms, and 0 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Monument Square to Chestnut. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,9,411
"21 Monument Square in Boston, MA was built in 1860 with a total of 5974 sq ft. The current listing price for this property is 2750000 with a per sq ft price of 460.33. The property has 2 floors, 9 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: Monument Avenue to Monument Square. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,6,10,412
"8 ludlow in Boston, MA was built in 1880 with a total of 0 sq ft. The current listing price for this property is 829900 with a per sq ft price of . The property has 2 floors, 10 bedrooms, 6 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: main st to mead st to ludlow. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,7,413
"51 Chestnut Street in Boston, MA was built in 1842 with a total of 3576 sq ft. The current listing price for this property is 1495000 with a per sq ft price of 418.06. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Monument Square to Chestnut Street. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,4,12,414
"3 Dexter Row in Boston, MA was built in 1899 with a total of 2695 sq ft. The current listing price for this property is 899000 with a per sq ft price of 333.58. The property has 2 floors, 12 bedrooms, 4 bathrooms, and 0 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Check with Listing Agents. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,7,415
"68 Green Street in Boston, MA was built in 1885 with a total of 1623 sq ft. The current listing price for this property is 577000 with a per sq ft price of 355.51. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Bartlett Street to Green Street. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,8,416
"435 Bunker Hill Street in Boston, MA was built in 2005 with a total of 2409 sq ft. The current listing price for this property is 899000 with a per sq ft price of 373.18. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Call Listing Agent. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,7,417
"241 Bunker Hill Street in Boston, MA was built in 1890 with a total of 2194 sq ft. The current listing price for this property is 849900 with a per sq ft price of 387.37. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Mapquest. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,9,418
"514 Medford Street in Boston, MA was built in 1890 with a total of 1250 sq ft. The current listing price for this property is 475000 with a per sq ft price of 380. The property has 2 floors, 9 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Medford Street between Baldwin and Short.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,6,419
"41 Union St in Boston, MA was built in 1996 with a total of 2500 sq ft. The current listing price for this property is 1049000 with a per sq ft price of 419.6. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Main Street to Union Street.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,4,6,420
"82 Constitution in Boston, MA was built in 2000 with a total of 1804 sq ft. The current listing price for this property is 969000 with a per sq ft price of 537.14. The property has 2 floors, 6 bedrooms, 4 bathrooms, and 2 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Right on Chelsea Street to Constitution Road.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,6,421
"36 Cross Street in Boston, MA was built in 1880 with a total of 1455 sq ft. The current listing price for this property is 649000 with a per sq ft price of 446.05. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Charlestown Neigborhood Boston, MA-. Directions: Monument Square to left on Bartlett to left on Cross Street.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,6,422
"18 Woodbourne Rd in Boston, MA was built in 1935 with a total of 1214 sq ft. The current listing price for this property is 365000 with a per sq ft price of 300.66. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-. Directions: use mapquest or gps. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,423
"5 Carlford Road in Boston, MA was built in 2004 with a total of 2200 sq ft. The current listing price for this property is 360000 with a per sq ft price of 163.64. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-English High. Directions: Hyde Park Avenue near Roslindale line to Carlford Road, min to Forest Hills on T line!. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,4,8,424
"192 Hyde Park Ave in Boston, MA was built in 2000 with a total of 1708 sq ft. The current listing price for this property is 409000 with a per sq ft price of 239.46. The property has 2 floors, 8 bedrooms, 4 bathrooms, and 0 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-. Directions: Hyde Park ave. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,6,425
"17 Parkside Drive in Boston, MA was built in 1968 with a total of 2074 sq ft. The current listing price for this property is 699000 with a per sq ft price of 337.03. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-BPS. Directions: Pond to Furnival to Parkside. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,8,426
"75 Jamaica Street in Boston, MA was built in 1890 with a total of 2306 sq ft. The current listing price for this property is 519900 with a per sq ft price of 225.46. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-. Directions: off South St or Jamaica Place from Jamaicaway. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,9,427
"55 WYMAN STREET in Boston, MA was built in 2013 with a total of 1850 sq ft. The current listing price for this property is 749900 with a per sq ft price of 405.35. The property has 2 floors, 9 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-. Directions: WELL LOCATED IN THE HEART OF JP NEAR EVERYTHING!!  TAKE CENTRE STREET TO WYMAN STREET.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,4,7,428
"3 Meehan Pl in Boston, MA was built in 1900 with a total of 1470 sq ft. The current listing price for this property is 589000 with a per sq ft price of 400.68. The property has 2 floors, 7 bedrooms, 4 bathrooms, and 0 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-. Directions: Seaverns to Gordon, left on Amory, right on Green,1st right onto Brookside. Pkng lot on left.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,5,429
"14 Malcolm Road in Boston, MA was built in 1925 with a total of 1500 sq ft. The current listing price for this property is 629900 with a per sq ft price of 419.93. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-. Directions: The Arborway to Whitcomb  left of Malcolm. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,430
"94 Louders Ln in Boston, MA was built in 1929 with a total of 1860 sq ft. The current listing price for this property is 507200 with a per sq ft price of 272.69. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Jamaica Plain Neigborhood Boston, MA-BPS. Directions: Centre St across from the Arboretum to Westchester Rd to Lila Rd to Louders Lane. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,431
"24 Heathcote St in Boston, MA was built in 1915 with a total of 1439 sq ft. The current listing price for this property is 317900 with a per sq ft price of 220.92. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-. Directions: Canterbury or Washington to Poplar to Heathcote. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,432
"101 Newburg Street in Boston, MA was built in 1920 with a total of 1736 sq ft. The current listing price for this property is 455000 with a per sq ft price of 262.1. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-. Directions: Belgrade Ave to Newburg. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,9,433
"43 Annafran Street in Boston, MA was built in 1920 with a total of 1061 sq ft. The current listing price for this property is 299000 with a per sq ft price of 281.81. The property has 2 floors, 9 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-. Directions: Cummings to Annafran. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,6,434
"95 Farquhar St in Boston, MA was built in 1910 with a total of 2055 sq ft. The current listing price for this property is 365000 with a per sq ft price of 177.62. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-BPS. Directions: Off Centre. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,11,435
"543 POPLAR STREET in Boston, MA was built in 1942 with a total of 1279 sq ft. The current listing price for this property is 269000 with a per sq ft price of 210.32. The property has 2 floors, 11 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-. Directions: POPLAR. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,7,436
"1044 SOUTH STREET in Boston, MA was built in 1920 with a total of 1940 sq ft. The current listing price for this property is 469000 with a per sq ft price of 241.75. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-. Directions: PRIME DOCTOR'S ROW IN ROSLINDALE NEAR THE WEST ROXBURY LINE. TAKE CENTRE STREET TO SOUTH STREET.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,7,437
"71 Glencliff Rd in Boston, MA was built in 1960 with a total of 2250 sq ft. The current listing price for this property is 399900 with a per sq ft price of 177.73. The property has 2 floors, 7 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-Mult. Options. Directions: Poplar St to Glencliff Rd. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,8,438
"587 Poplar St in Boston, MA was built in 1942 with a total of 1166 sq ft. The current listing price for this property is 305000 with a per sq ft price of 261.58. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: Beech to Poplar. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,7,439
"90 Hemman St in Boston, MA was built in 1965 with a total of 1056 sq ft. The current listing price for this property is 249900 with a per sq ft price of 236.65. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Boston, MA-. Directions: See Mapquest. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,440
"195 Cummins Highway in Boston, MA was built in 1890 with a total of 2827 sq ft. The current listing price for this property is 499000 with a per sq ft price of 176.51. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-. Directions: Roslindale Square to Cummins Highway at the intersection of Brown Avenue. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,10,441
"15 Zeller St in Boston, MA was built in 1930 with a total of 1528 sq ft. The current listing price for this property is 449000 with a per sq ft price of 293.85. The property has 2 floors, 10 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Roslindale Neigborhood Boston, MA-BPS. Directions: Walter-Ardale-left on Selwyn-right on Zeller (dead end street) Between Centre and Walter. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,442
"84 Crosstown ave in Boston, MA was built in 2012 with a total of 2700 sq ft. The current listing price for this property is 629900 with a per sq ft price of 233.3. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: Centre to Stimson to Crosstown. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,8,443
"44 Laurie Ave in Boston, MA was built in 1930 with a total of 1602 sq ft. The current listing price for this property is 425000 with a per sq ft price of 265.29. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-Boston Latin. Directions: Baker or Spring to Laurie. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,9,444
"265 Perham St in Boston, MA was built in 1934 with a total of 1100 sq ft. The current listing price for this property is 329900 with a per sq ft price of 299.91. The property has 2 floors, 9 bedrooms, 3 bathrooms, and 2 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: Laselle to Perham. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,6,445
"2 Hemlock Rd in Boston, MA was built in 1920 with a total of 1232 sq ft. The current listing price for this property is 289000 with a per sq ft price of 234.58. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: Spring to Gould, at the corner of Gould & Hemlock. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,7,446
"155 Lasell St in Boston, MA was built in 1930 with a total of 2012 sq ft. The current listing price for this property is 469000 with a per sq ft price of 233.1. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-West Roxbury. Directions: VFW to LaGrange to Lasell St. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,8,447
"60 Avalon Road in Boston, MA was built in 1940 with a total of 922 sq ft. The current listing price for this property is 299900 with a per sq ft price of 325.27. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: Corey to Maple to Avalon. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,6,448
"220 Grove Street in Boston, MA was built in 2012 with a total of 2614 sq ft. The current listing price for this property is 515000 with a per sq ft price of 197.02. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: Centre St. or Washington St. to Grove St.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,8,449
"39 Salman St in Boston, MA was built in 1960 with a total of 1584 sq ft. The current listing price for this property is 339000 with a per sq ft price of 214.02. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: Centre to Fairlane to Salman. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,450
"112 Stimson Street in Boston, MA was built in 1945 with a total of 922 sq ft. The current listing price for this property is 349000 with a per sq ft price of 378.52. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: Off Washington Street on the Dedham Line. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,451
"6 Colbert Street in Boston, MA was built in 2012 with a total of 1940 sq ft. The current listing price for this property is 599900 with a per sq ft price of 309.23. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: West Roxbury Parkway to Holy Name rotary to Centre right on Colbert opposite Holy Name Church. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,3,6,452
"19 bobolink in Boston, MA was built in 1957 with a total of 1100 sq ft. The current listing price for this property is 329000 with a per sq ft price of 299.09. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the West Roxbury's Bellevue Hill Neigborhood Boston, MA-. Directions: off LaGrange Street. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,6,453
"82 Partridge St in Boston, MA was built in 1960 with a total of 1536 sq ft. The current listing price for this property is 339000 with a per sq ft price of 220.7. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the West Roxbury's Bellevue Hill Neigborhood Boston, MA-West Roxbury. Directions: From W Roxbury Ctr, Lagrange St towards Washington. Right on Shaw Left on Sparrow Right on Partridge. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,1,7,454
"49 Constance Road in Boston, MA was built in 1900 with a total of 1725 sq ft. The current listing price for this property is 475000 with a per sq ft price of 275.36. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: Off Baker Street. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,455
"35 OVERLOOK ROAD in Boston, MA was built in 1955 with a total of 1054 sq ft. The current listing price for this property is 149900 with a per sq ft price of 142.22. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-Public. Directions: Grove  St  from Washington to Overlook left on to  Overlook Road. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,5,456
"17 Carroll Street in Boston, MA was built in 1932 with a total of 1448 sq ft. The current listing price for this property is 449000 with a per sq ft price of 310.08. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-BPS. Directions: Lagrange Street to Vermont Street right on Carroll Street. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,6,457
"71 Oakmere St in Boston, MA was built in 1915 with a total of 1600 sq ft. The current listing price for this property is 469000 with a per sq ft price of 293.13. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the West Roxbury Neigborhood Boston, MA-. Directions: VFW Parkway to Spring St, first right off off spring follow through to Oakmere.. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,7,458
"106 LaGrange in Boston, MA was built in 1930 with a total of 1700 sq ft. The current listing price for this property is 390000 with a per sq ft price of 229.41. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the West Roxbury's Bellevue Hill Neigborhood Boston, MA-. Directions: Washington Street to LaGrange. Please contact lena dunham at stu@vwx.com if interested.",2,0x796573,0x796573,0x796573,2,8,459
